experiment,dataset,top_1_acc_diff,top_1_acc_improvement,top_3_acc_diff,top_3_acc_improvement,top_5_acc_diff,top_5_acc_improvement,top_10_acc_diff,top_10_acc_improvement,top_15_acc_diff,top_15_acc_improvement
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_0.5_rag,0.181,0.036,0.145,0.061,0.119,0.078,0.084,0.104,0.072,0.101
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_3,0.186,0.031,0.127,0.079,0.086,0.111,0.058,0.129,0.060,0.113
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_1,0.213,0.004,0.162,0.044,0.124,0.073,0.086,0.101,0.089,0.084
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_5,0.123,0.094,0.101,0.105,0.089,0.107,0.074,0.114,0.069,0.104
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_1.0_zero_shot,0.066,0.151,0.038,0.167,0.026,0.170,0.034,0.154,0.031,0.143
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_1.0_few_shot_3,0.110,0.107,0.066,0.139,0.048,0.148,0.050,0.137,0.042,0.132
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_1.0_few_shot_1,0.084,0.133,0.053,0.153,0.067,0.129,0.053,0.134,0.047,0.126
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_1.0_few_shot_5,0.082,0.135,0.050,0.155,0.046,0.151,0.036,0.151,0.044,0.129
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_1.0_rag,0.106,0.111,0.051,0.154,0.047,0.149,0.045,0.143,0.050,0.123
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_3,0.126,0.092,0.077,0.129,0.054,0.143,0.058,0.129,0.045,0.128
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_1,0.222,-0.005,0.161,0.045,0.118,0.078,0.085,0.102,0.073,0.101
gpt-4-0125-preview_0.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_5,0.236,-0.018,0.138,0.068,0.107,0.089,0.068,0.119,0.065,0.108
gpt-4-0125-preview_1.0_few_shot_5,gpt-3.5-turbo-0125_0.5_zero_shot,0.135,0.095,0.084,0.140,0.092,0.123,0.087,0.111,0.076,0.097
gpt-4-0125-preview_1.0_few_shot_5,gpt-3.5-turbo-0125_0.5_few_shot_1,0.137,0.093,0.117,0.107,0.100,0.115,0.082,0.116,0.063,0.110
gpt-4-0125-preview_1.0_few_shot_5,gpt-3.5-turbo-0125_1.0_zero_shot,0.139,0.090,0.121,0.102,0.096,0.119,0.103,0.095,0.091,0.081
gpt-4-0125-preview_1.0_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_3,0.082,0.148,0.072,0.152,0.058,0.157,0.065,0.133,0.055,0.117
gpt-4-0125-preview_1.0_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_1,0.105,0.125,0.096,0.127,0.076,0.138,0.064,0.134,0.053,0.120
gpt-4-0125-preview_1.0_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_5,0.071,0.159,0.050,0.174,0.044,0.171,0.054,0.144,0.039,0.134
gpt-4-0125-preview_1.0_few_shot_5,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.115,0.115,0.092,0.131,0.088,0.127,0.093,0.105,0.080,0.092
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_0.0_few_shot_5,0.079,0.151,0.093,0.131,0.085,0.130,0.076,0.122,0.052,0.121
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_0.0_rag,0.165,0.065,0.148,0.075,0.136,0.079,0.110,0.088,0.081,0.091
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_0.0_rag_few_shot_1,0.142,0.088,0.145,0.078,0.108,0.106,0.087,0.111,0.072,0.101
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_0.5_zero_shot,0.048,0.182,0.077,0.147,0.079,0.136,0.067,0.131,0.053,0.120
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_0.5_few_shot_3,0.100,0.130,0.101,0.123,0.081,0.134,0.073,0.125,0.058,0.115
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_0.5_few_shot_1,0.048,0.182,0.067,0.156,0.062,0.153,0.072,0.126,0.050,0.123
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_0.5_few_shot_5,0.087,0.143,0.089,0.135,0.069,0.146,0.063,0.135,0.057,0.116
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_0.5_rag,0.149,0.081,0.106,0.118,0.108,0.107,0.097,0.101,0.071,0.102
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_3,0.141,0.089,0.100,0.123,0.081,0.134,0.079,0.119,0.062,0.110
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_1,0.142,0.088,0.119,0.104,0.104,0.111,0.093,0.105,0.073,0.099
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_5,0.168,0.062,0.148,0.076,0.129,0.086,0.097,0.101,0.072,0.101
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_1.0_zero_shot,0.040,0.190,0.041,0.182,0.049,0.166,0.039,0.159,0.031,0.142
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_1.0_few_shot_3,0.135,0.095,0.095,0.129,0.084,0.131,0.065,0.133,0.041,0.131
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_1.0_few_shot_1,0.076,0.153,0.074,0.149,0.084,0.131,0.076,0.123,0.052,0.121
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_1.0_few_shot_5,0.063,0.167,0.054,0.170,0.048,0.167,0.056,0.142,0.045,0.128
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_1.0_rag,0.089,0.141,0.095,0.129,0.094,0.121,0.079,0.119,0.061,0.112
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_3,0.095,0.135,0.102,0.121,0.089,0.126,0.083,0.115,0.055,0.118
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_1,0.103,0.126,0.073,0.150,0.065,0.150,0.085,0.113,0.057,0.116
gpt-4-0125-preview_1.0_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_5,0.134,0.095,0.076,0.147,0.067,0.148,0.075,0.123,0.060,0.113
gpt-4-0125-preview_0.5_rag_0,gpt-3.5-turbo-0125_0.5_zero_shot,0.131,0.002,0.128,0.004,0.109,0.017,0.088,0.030,0.061,0.032
gpt-4-0125-preview_0.5_rag_0,gpt-3.5-turbo-0125_0.5_few_shot_1,0.095,0.038,0.098,0.033,0.100,0.026,0.083,0.035,0.064,0.029
gpt-4-0125-preview_0.5_rag_0,gpt-3.5-turbo-0125_1.0_zero_shot,0.102,0.031,0.106,0.025,0.100,0.026,0.104,0.014,0.084,0.009
gpt-4-0125-preview_0.5_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_3,0.113,0.020,0.104,0.028,0.085,0.041,0.066,0.052,0.050,0.043
gpt-4-0125-preview_0.5_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_1,0.093,0.040,0.108,0.023,0.088,0.038,0.069,0.048,0.039,0.054
gpt-4-0125-preview_0.5_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_5,0.129,0.004,0.115,0.016,0.103,0.023,0.089,0.029,0.061,0.032
gpt-4-0125-preview_0.5_rag_0,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.071,0.062,0.058,0.073,0.061,0.065,0.077,0.041,0.064,0.029
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_0.0_few_shot_5,0.067,0.066,0.069,0.062,0.062,0.063,0.060,0.058,0.043,0.050
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_0.0_rag,0.095,0.038,0.069,0.063,0.061,0.065,0.057,0.061,0.045,0.049
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_0.0_rag_few_shot_1,0.098,0.036,0.048,0.084,0.047,0.079,0.051,0.067,0.041,0.052
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_0.5_zero_shot,0.064,0.069,0.070,0.062,0.064,0.062,0.064,0.053,0.052,0.042
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_0.5_few_shot_3,0.045,0.088,0.057,0.075,0.057,0.069,0.045,0.073,0.034,0.059
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_0.5_few_shot_1,0.034,0.099,0.044,0.088,0.044,0.082,0.048,0.070,0.029,0.065
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_0.5_few_shot_5,0.087,0.046,0.072,0.060,0.072,0.054,0.054,0.064,0.039,0.055
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_0.5_rag,0.269,-0.136,0.118,0.014,0.103,0.023,0.078,0.040,0.060,0.033
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_3,0.074,0.059,0.065,0.067,0.063,0.062,0.062,0.055,0.048,0.046
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_1,0.082,0.051,0.064,0.067,0.062,0.064,0.069,0.049,0.055,0.039
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_5,0.093,0.040,0.078,0.053,0.068,0.058,0.057,0.060,0.047,0.047
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_1.0_zero_shot,0.011,0.122,0.026,0.106,0.051,0.075,0.055,0.063,0.036,0.058
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_1.0_few_shot_3,0.098,0.035,0.082,0.049,0.061,0.065,0.051,0.066,0.034,0.060
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_1.0_few_shot_1,0.054,0.079,0.047,0.084,0.048,0.078,0.047,0.071,0.033,0.061
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_1.0_few_shot_5,0.031,0.102,0.030,0.102,0.031,0.094,0.035,0.082,0.030,0.063
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_1.0_rag,0.248,-0.115,0.123,0.008,0.093,0.033,0.081,0.036,0.066,0.027
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_3,0.055,0.078,0.069,0.062,0.070,0.056,0.058,0.060,0.044,0.050
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_1,0.080,0.053,0.073,0.059,0.077,0.049,0.062,0.056,0.049,0.044
gpt-4-0125-preview_0.5_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_5,0.063,0.070,0.062,0.070,0.054,0.072,0.052,0.066,0.040,0.053
gpt-4-0125-preview_0.0_rag_0,gpt-3.5-turbo-0125_0.5_zero_shot,0.129,0.053,0.099,0.037,0.082,0.034,0.067,0.030,0.054,0.026
gpt-4-0125-preview_0.0_rag_0,gpt-3.5-turbo-0125_0.5_few_shot_1,0.182,0.000,0.140,-0.003,0.119,-0.002,0.085,0.013,0.066,0.014
gpt-4-0125-preview_0.0_rag_0,gpt-3.5-turbo-0125_1.0_zero_shot,0.196,-0.014,0.114,0.023,0.105,0.011,0.111,-0.014,0.099,-0.019
gpt-4-0125-preview_0.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_3,0.147,0.035,0.110,0.027,0.085,0.032,0.068,0.030,0.058,0.021
gpt-4-0125-preview_0.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_1,0.139,0.044,0.093,0.044,0.074,0.042,0.056,0.041,0.048,0.032
gpt-4-0125-preview_0.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_5,0.130,0.052,0.084,0.053,0.060,0.057,0.064,0.034,0.064,0.015
gpt-4-0125-preview_0.0_rag_0,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.146,0.036,0.100,0.037,0.097,0.020,0.074,0.024,0.066,0.013
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_0.0_few_shot_5,0.123,0.060,0.069,0.067,0.047,0.070,0.028,0.069,0.031,0.048
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_0.0_rag,0.103,0.080,0.065,0.072,0.045,0.071,0.034,0.063,0.035,0.045
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_0.0_rag_few_shot_1,0.106,0.076,0.074,0.063,0.064,0.053,0.034,0.063,0.034,0.046
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_0.5_zero_shot,0.101,0.082,0.066,0.071,0.046,0.071,0.031,0.066,0.024,0.055
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_0.5_few_shot_3,0.105,0.077,0.063,0.073,0.052,0.064,0.023,0.075,0.035,0.045
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_0.5_few_shot_1,0.112,0.070,0.064,0.073,0.044,0.072,0.024,0.073,0.030,0.050
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_0.5_few_shot_5,0.185,-0.002,0.106,0.031,0.070,0.047,0.037,0.060,0.032,0.048
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_0.5_rag,0.087,0.095,0.062,0.075,0.050,0.066,0.039,0.058,0.041,0.039
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_3,0.109,0.074,0.069,0.068,0.030,0.086,0.044,0.054,0.043,0.037
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_1,0.108,0.074,0.084,0.053,0.057,0.060,0.053,0.044,0.046,0.034
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_5,0.108,0.074,0.069,0.068,0.049,0.068,0.049,0.048,0.052,0.027
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_1.0_zero_shot,0.084,0.098,0.041,0.096,0.013,0.103,0.007,0.090,0.015,0.065
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_1.0_few_shot_3,0.090,0.093,0.059,0.078,0.033,0.084,0.026,0.071,0.028,0.052
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_1.0_few_shot_1,0.140,0.043,0.065,0.072,0.040,0.077,0.031,0.066,0.032,0.048
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_1.0_few_shot_5,0.072,0.110,0.058,0.079,0.049,0.067,0.033,0.065,0.044,0.036
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_1.0_rag,0.088,0.095,0.052,0.085,0.043,0.073,0.046,0.052,0.048,0.032
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_3,0.134,0.048,0.074,0.063,0.061,0.055,0.058,0.039,0.054,0.026
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_1,0.098,0.084,0.062,0.075,0.050,0.067,0.041,0.057,0.046,0.034
gpt-4-0125-preview_0.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_5,0.087,0.096,0.064,0.073,0.065,0.051,0.044,0.054,0.045,0.035
gpt-4-0125-preview_1.0_rag_0,gpt-3.5-turbo-0125_0.5_zero_shot,0.087,0.143,0.080,0.148,0.081,0.141,0.086,0.104,0.062,0.100
gpt-4-0125-preview_1.0_rag_0,gpt-3.5-turbo-0125_0.5_few_shot_1,0.058,0.172,0.055,0.174,0.060,0.163,0.066,0.124,0.047,0.115
gpt-4-0125-preview_1.0_rag_0,gpt-3.5-turbo-0125_1.0_zero_shot,0.125,0.105,0.115,0.113,0.109,0.113,0.122,0.068,0.108,0.053
gpt-4-0125-preview_1.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_3,0.091,0.139,0.069,0.160,0.073,0.150,0.049,0.140,0.040,0.122
gpt-4-0125-preview_1.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_1,0.078,0.152,0.057,0.172,0.052,0.171,0.049,0.140,0.028,0.134
gpt-4-0125-preview_1.0_rag_0,gpt-3.5-turbo-0125_1.0_few_shot_5,0.088,0.142,0.059,0.169,0.065,0.158,0.046,0.144,0.030,0.132
gpt-4-0125-preview_1.0_rag_0,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.163,0.067,0.126,0.102,0.104,0.119,0.089,0.101,0.066,0.095
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_0.0_few_shot_5,0.005,0.225,0.032,0.196,0.057,0.166,0.055,0.135,0.034,0.128
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_0.0_rag,0.259,-0.029,0.314,-0.085,0.265,-0.042,0.198,-0.009,0.156,0.006
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_0.0_rag_few_shot_1,0.137,0.092,0.140,0.088,0.138,0.084,0.101,0.088,0.059,0.102
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_0.5_zero_shot,0.182,0.048,0.328,-0.100,0.259,-0.037,0.191,-0.001,0.122,0.039
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_0.5_few_shot_3,0.017,0.213,0.036,0.192,0.063,0.159,0.053,0.136,0.037,0.125
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_0.5_few_shot_1,0.017,0.213,0.020,0.209,0.053,0.170,0.051,0.138,0.029,0.132
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_0.5_few_shot_5,0.004,0.226,0.036,0.193,0.048,0.175,0.047,0.143,0.031,0.130
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_0.5_rag,0.306,-0.076,0.363,-0.135,0.306,-0.083,0.222,-0.033,0.167,-0.005
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_3,0.084,0.146,0.125,0.104,0.117,0.105,0.088,0.102,0.056,0.105
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_1,0.111,0.119,0.142,0.087,0.155,0.067,0.110,0.079,0.065,0.097
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_0.5_rag_few_shot_5,0.120,0.110,0.118,0.111,0.109,0.114,0.092,0.098,0.060,0.102
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_1.0_zero_shot,0.004,0.226,0.304,-0.076,0.260,-0.038,0.163,0.027,0.121,0.040
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_1.0_few_shot_3,0.034,0.196,0.053,0.176,0.049,0.173,0.035,0.154,0.037,0.124
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_1.0_few_shot_1,0.029,0.201,0.047,0.182,0.059,0.164,0.034,0.156,0.038,0.124
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_1.0_few_shot_5,0.005,0.225,0.029,0.199,0.044,0.178,0.039,0.151,0.043,0.119
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_1.0_rag,0.309,-0.079,0.314,-0.086,0.270,-0.048,0.198,-0.009,0.138,0.024
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_3,0.092,0.138,0.095,0.133,0.086,0.136,0.058,0.132,0.045,0.117
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_1,0.114,0.116,0.141,0.088,0.121,0.102,0.099,0.090,0.070,0.092
gpt-4-0125-preview_1.0_rag_0,gpt-4-0125-preview_1.0_rag_few_shot_5,0.084,0.146,0.090,0.138,0.087,0.136,0.061,0.128,0.045,0.117
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_zero_shot,0.120,0.060,0.118,0.049,0.114,0.045,0.088,0.046,0.067,0.039
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_few_shot_1,0.119,0.061,0.109,0.057,0.112,0.047,0.084,0.049,0.053,0.054
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_zero_shot,0.102,0.078,0.093,0.074,0.089,0.070,0.083,0.051,0.073,0.034
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_3,0.158,0.022,0.134,0.033,0.117,0.042,0.086,0.048,0.059,0.047
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_1,0.103,0.077,0.103,0.064,0.102,0.057,0.076,0.057,0.049,0.058
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_5,0.106,0.074,0.109,0.058,0.106,0.053,0.087,0.046,0.061,0.046
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.090,0.090,0.079,0.087,0.080,0.079,0.062,0.071,0.045,0.062
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.0_few_shot_5,0.125,0.055,0.114,0.053,0.112,0.047,0.087,0.047,0.053,0.054
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.0_rag,0.107,0.073,0.086,0.081,0.082,0.077,0.085,0.048,0.075,0.032
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.0_rag_few_shot_1,0.191,-0.011,0.144,0.023,0.121,0.039,0.078,0.056,0.072,0.035
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_zero_shot,0.078,0.102,0.072,0.095,0.063,0.096,0.061,0.073,0.047,0.060
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_3,0.115,0.065,0.115,0.052,0.114,0.045,0.077,0.057,0.057,0.050
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_1,0.108,0.072,0.112,0.055,0.102,0.057,0.079,0.055,0.050,0.057
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_5,0.126,0.054,0.124,0.043,0.115,0.044,0.091,0.042,0.078,0.029
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag,0.161,0.019,0.091,0.076,0.086,0.073,0.082,0.052,0.063,0.043
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_3,0.173,0.007,0.122,0.045,0.104,0.055,0.078,0.056,0.062,0.045
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_1,0.147,0.033,0.139,0.028,0.123,0.036,0.094,0.039,0.064,0.043
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_5,0.159,0.021,0.143,0.024,0.131,0.028,0.089,0.045,0.065,0.042
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_zero_shot,0.075,0.105,0.065,0.102,0.066,0.093,0.054,0.080,0.042,0.065
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_3,0.068,0.112,0.090,0.077,0.088,0.071,0.069,0.065,0.053,0.054
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_1,0.145,0.035,0.132,0.035,0.119,0.040,0.085,0.049,0.059,0.047
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_5,0.047,0.133,0.059,0.108,0.066,0.093,0.060,0.073,0.051,0.056
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag,0.090,0.090,0.072,0.095,0.069,0.090,0.067,0.066,0.052,0.055
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_3,0.108,0.072,0.085,0.082,0.085,0.074,0.073,0.060,0.059,0.047
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_1,0.104,0.076,0.083,0.083,0.085,0.074,0.079,0.054,0.062,0.045
gpt-4-1106-preview_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_5,0.110,0.070,0.082,0.085,0.090,0.069,0.087,0.047,0.068,0.038
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_zero_shot,0.100,0.046,0.077,0.058,0.070,0.056,0.050,0.051,0.036,0.044
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_few_shot_1,0.105,0.041,0.101,0.035,0.077,0.049,0.052,0.049,0.034,0.045
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_zero_shot,0.079,0.066,0.067,0.069,0.057,0.069,0.050,0.052,0.032,0.047
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_3,0.080,0.066,0.070,0.066,0.067,0.060,0.048,0.054,0.032,0.048
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_1,0.095,0.050,0.074,0.061,0.071,0.055,0.050,0.051,0.034,0.045
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_5,0.083,0.062,0.072,0.064,0.068,0.058,0.045,0.056,0.027,0.052
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.112,0.034,0.101,0.034,0.100,0.026,0.082,0.019,0.062,0.018
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.0_few_shot_5,0.149,-0.004,0.100,0.036,0.080,0.047,0.063,0.039,0.043,0.037
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.0_rag,0.281,-0.135,0.148,-0.013,0.105,0.021,0.069,0.032,0.062,0.018
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.0_rag_few_shot_1,0.080,0.066,0.090,0.045,0.085,0.041,0.063,0.038,0.055,0.024
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_zero_shot,0.047,0.098,0.064,0.071,0.060,0.066,0.037,0.064,0.027,0.053
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_3,0.137,0.008,0.083,0.052,0.072,0.055,0.057,0.045,0.040,0.039
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_1,0.149,-0.004,0.093,0.043,0.075,0.052,0.059,0.043,0.046,0.033
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_5,0.121,0.025,0.084,0.052,0.070,0.056,0.044,0.057,0.029,0.050
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag,0.340,-0.194,0.164,-0.028,0.125,0.001,0.084,0.018,0.066,0.013
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_3,0.092,0.054,0.080,0.056,0.078,0.049,0.062,0.039,0.052,0.027
gpt-4-1106-preview_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_1,0.084,0.062,0.086,0.050,0.082,0.045,0.070,0.031,0.058,0.021
